Session start time,11:31:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Session stop time,11:42:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markdown,"Time, min","Time, sec",IAPF,IAF,Baseline Fatigue score,Fatigue score,Baseline Alpha Gravity,Alpha Gravity,Baseline Concentration index,Concentration index,Baseline Relaxation index,Relaxation index,Baseline Reverse Fatigue,Reverse Fatigue,Heart Rate,Stress Index,Kaplan Index,Accumulated Fatigue,Theta,Alpha,Beta,Theta peak frequency,Alpha peak frequency,Beta peak frequency,Chill,Stress,Focus,Anger,Self-control
IAPF Calibration,0,30,,,,,,,,,,,,,41.66068377,65.46525021,29.00476129,,0.08161334831,0.424196405,0.05838845489,5.43791013,9.767428327,16.67258978,,,,,
IAPF Calibration,1,60,,,,,,,,,,,,,80.45980648,77.58220715,58.85966798,,0.2328777247,0.5508228416,0.1231606678,5.610846609,9.866847612,17.79209087,,,,,
IAPF Calibration,1,90,,,,,,,,,,,,,80.55992393,75.13259259,64.09647546,,0.1999698073,0.432399347,0.2188998051,4.598543245,10.33317229,17.03558379,,,,,
IAPF Calibration,2,120,,,,,,,,,,,,,85.8333675,39.98534209,48.07421538,,0.1675267943,0.5315989334,0.205771356,5.437353641,10.26860981,17.87406233,,,,,
IAPF Calibration,2,150,10.80000019,10.32220364,,,,,,,,,,,80.62125973,41.48528355,49.74904367,,0.2102913198,0.4422086266,0.2323781396,4.844033555,9.599730584,19.00380382,,,,,
Baseline Calibration,3,180,10.80000019,10.32220364,1.726055503,2.158146105,0.3763061464,0.5819179548,1.058163166,0.8823747167,0.9450338483,1.172184818,0.5793556571,0.4694908195,83.21996931,49.49148355,57.16937393,0.003621412926,0.2663004486,0.2970270271,0.3100513298,5.228115695,8.356613188,16.89600939,44.54859847,36.01257071,39.96853991,38.66044092,44.54859847
,3,210,10.80000019,10.32220364,1.726055503,2.496297233,0.3763061464,0.4671285585,1.058163166,0.8168188141,0.9450338483,1.361239848,0.5793556571,0.4296356426,83.43330605,51.65626409,59.99084544,0.02305688609,0.2800744138,0.3349888425,0.2571827492,5.426785023,8.305211444,17.20783436,55.91147128,40.56783393,37.37158659,34.61385531,55.91147128
,4,240,10.80000019,10.32220364,1.726055503,2.678258815,0.3763061464,0.6000892077,1.058163166,0.7773672622,0.9450338483,1.420258278,0.5793556571,0.459913808,82.42254824,50.87821588,59.07818635,0.03812804019,0.2559500866,0.3442935224,0.2586191568,5.482990814,9.617991471,17.29289043,72.17204777,36.98997852,34.09969264,34.17351913,74.4664841
,4,270,10.80000019,10.32220364,1.726055503,1.835953416,0.3763061464,0.7965302985,1.058163166,0.8084638434,0.9450338483,1.305027244,0.5793556571,0.5632101782,80.62217612,49.00635086,57.12823195,0.04906776286,0.1638252309,0.3991370624,0.3131326087,5.628606538,10.32851717,18.08529167,74.60415896,24.72007856,39.18918851,45.37231562,64.49148619
,5,300,10.80000019,10.32220364,1.726055503,1.771608153,0.3763061464,0.5345780045,1.058163166,0.8656017554,0.9450338483,1.233971286,0.5793556571,0.5978600569,81.82132189,55.50071129,63.22143874,0.07595481028,0.1675685302,0.3853202328,0.3225848846,5.860615441,9.585566061,18.55214767,67.24063334,22.1068526,51.1951215,52.75937084,57.07328242
,5,330,10.80000019,10.32220364,1.726055503,2.132594831,0.3763061464,0.5479109956,1.058163166,0.7986131514,0.9450338483,1.35913582,0.5793556571,0.4964882115,85.59632831,57.91478904,66.65823947,0.09561366858,0.2103152112,0.3676056369,0.2814550971,4.850537337,10.05276248,18.27489647,72.77852995,27.12598486,56.48835414,47.19416173,62.66118651
,6,360,10.80000019,10.32220364,1.726055503,2.077185439,0.3763061464,0.5400513324,1.058163166,0.8112022887,0.9450338483,1.297201604,0.5793556571,0.4984716259,86.53342879,68.93774068,75.25133542,0.1065401708,0.2189805797,0.3630404778,0.2874906497,5.421187283,10.04361219,17.75288284,79.21498336,30.70180334,59.68550986,40.51387727,69.40303889
,6,390,10.80000019,10.32220364,1.726055503,1.865106413,0.3763061464,0.7132656292,1.058163166,0.9458660275,0.9450338483,1.23348731,0.5793556571,0.6189703155,84.33918596,74.35721116,83.72634445,0.1252464992,0.1852353861,0.3624094749,0.3207774627,5.001113204,10.1589771,17.0606665,78.83233353,29.7103577,68.01898253,41.02500257,68.85199651
,7,420,10.80000019,10.32220364,1.726055503,2.192336858,0.3763061464,0.4203528523,1.058163166,0.884960117,0.9450338483,1.313184608,0.5793556571,0.5273294743,84.99020447,71.56480045,82.7065914,0.1650032316,0.2337923163,0.3579220055,0.2958258061,5.672660126,8.435035239,17.43019461,69.90492962,39.7136955,80.87395689,46.87851055,63.05533735
,7,450,10.80000019,10.32220364,1.726055503,2.590887003,0.3763061464,0.704174756,1.058163166,0.7038093576,0.9450338483,1.497409642,0.5793556571,0.4054596576,84.14123417,73.51081746,84.17180108,0.1856607225,0.2571430312,0.3520168567,0.2440830702,5.310372759,10.67537441,17.56614572,68.74331546,41.25668675,61.30056012,33.96287209,76.03713019
,8,480,10.80000019,10.32220364,1.726055503,2.31013933,0.3763061464,0.5499107596,1.058163166,0.6459497017,0.9450338483,1.631361107,0.5793556571,0.4521760456,84.19281224,75.95268768,93.38741438,0.1873395292,0.180819343,0.4333099883,0.2732502244,6.031351433,9.974155798,18.29942371,91.98528514,17.78316189,51.78947683,25.55677176,84.33528233
,8,510,10.80000019,10.32220364,1.726055503,1.735927226,0.3763061464,0.608290637,1.058163166,0.9073860956,0.9450338483,1.148524378,0.5793556571,0.6051807803,84.98032147,79.76716095,101.816786,0.1985621087,0.1828333435,0.3669450233,0.3265131181,5.737065948,9.628889331,16.39853063,88.4831652,21.33406307,75.04841413,24.7330082,85.26699348
,9,540,10.80000019,10.32220364,1.726055503,2.354201778,0.3763061464,0.5765054807,1.058163166,0.7961323439,0.9450338483,1.40063065,0.5793556571,0.487619091,86.0098045,71.75961742,84.84709287,0.2305577869,0.2221219108,0.3535912475,0.2699739208,5.331658116,9.566341688,16.25350706,66.84320927,43.15679261,77.73947717,35.26777856,74.73222324
